ID,bank branch,funding type,funding classification,customer sector,installment value,cashing date,sex,age,social status,special needs,number of family members,saving loan,income,financing value
1,Tabuk,social,family,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 05,No,< 5000,60000
2,Hail,project,solution,employee of a government company,>= 1000,2019/01,MALE,< 30,single,No,< 02,No,< 5000,160000
3,Tabuk,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
4,Medina,social,marriage,employee of a government company,< 1000,2019/03,MALE,< 30,married,No,>= 10,No,>= 5000,60000
5,Medina,social,family,private sector employee,>= 1000,2019/02,FEMALE,>= 30,divorced,No,>= 02,No,>= 10000,60000
6,Medina,social,family,private sector employee,>= 1000,2019/02,FEMALE,>= 30,divorced,No,>= 02,No,< 5000,60000
7,Medina,social,family,Government retired,>= 1000,2019/02,MALE,>= 60,divorced,No,>= 05,No,>= 7500,60000
8,Medina,social,family,Government retired,>= 1000,2019/02,MALE,>= 60,divorced,No,>= 05,No,>= 10000,60000
9,Medina,social,marriage,government employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
10,Kharj,social,marriage,government employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
11,Medina,social,family,employee of a government company,< 1000,2019/01,FEMALE,< 30,divorced,No,>= 02,No,< 5000,60000
12,Medina,social,family,employee of a government company,< 1000,2019/01,FEMALE,< 30,divorced,No,>= 02,No,>= 10000,60000
13,Riyadh,social,family,employee of a government company,< 1000,2019/01,MALE,>= 60,married,No,>= 05,No,< 5000,60000
14,Riyadh,social,family,employee of a government company,< 1000,2019/01,MALE,>= 60,married,No,>= 05,No,>= 7500,60000
15,Taif,social,marriage,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
16,Tabuk,social,family,employee of a government company,< 1000,2019/02,MALE,>= 40,married,No,>= 05,Yes,>= 10000,30000
17,Tabuk,social,family,employee of a government company,< 1000,2019/02,MALE,>= 40,married,No,>= 05,Yes,< 5000,30000
18,Medina,project,emerging,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,< 02,No,< 5000,155000
19,Kharj,social,family,Government retired,< 1000,2019/01,MALE,>= 60,married,No,>= 05,No,>= 5000,60000
20,Taif,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,24000
21,Taif,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 5000,24000
22,Tabuk,social,marriage,government employee,< 1000,2019/03,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
23,Medina,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
24,Kharj,social,family,Government retired,< 1000,2019/01,MALE,>= 60,married,No,>= 05,No,>= 10000,60000
25,Medina,social,marriage,employee of a government company,< 1000,2019/03,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
26,Tabuk,social,family,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,< 5000,60000
27,Tabuk,social,family,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
28,Riyadh,social,family,employee of a government company,< 1000,2019/01,MALE,>= 40,married,No,>= 05,No,>= 7500,48000
29,Riyadh,social,family,employee of a government company,< 1000,2019/01,MALE,>= 40,married,No,>= 05,No,< 5000,48000
30,Medina,social,family,government employee,< 1000,2019/03,MALE,>= 30,married,No,>= 05,No,>= 10000,42000
31,Medina,social,family,Government retired,< 1000,2019/03,MALE,>= 40,married,No,>= 05,No,>= 7500,60000
32,Medina,social,family,Government retired,< 1000,2019/03,MALE,>= 40,married,No,>= 05,No,>= 7500,60000
33,Tabuk,social,renovation,employee of a government company,>= 1000,2019/02,FEMALE,>= 40,married,No,>= 10,No,< 5000,60000
34,Tabuk,social,renovation,employee of a government company,>= 1000,2019/02,FEMALE,>= 40,married,No,>= 10,No,< 5000,60000
35,Riyadh,social,family,employee of a government company,< 1000,2019/01,FEMALE,>= 30,divorced,No,>= 02,No,< 5000,60000
36,Riyadh,social,family,employee of a government company,< 1000,2019/01,FEMALE,>= 30,divorced,No,>= 02,No,>= 10000,60000
37,Medina,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,60000
38,Medina,social,marriage,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,>= 7500,60000
39,Riyadh,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
